,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
63400,4094791,2023,24. Matchday,2024-03-03,995,347,0,2,14.0,17.0,Jocelyn Gourvennec,László Bölöni,Stade de la Beaujoire,27132.0,Eric Wattellier,5-3-2,4-3-3 Attacking,Football Club de Nantes,Football Club de Metz,0:2,domestic_league,-1
63401,4094792,2023,24. Matchday,2024-03-03,969,667,2,2,16.0,12.0,Michel Der Zakarian,Patrick Vieira,Stade de la Mosson,11635.0,Stéphanie Frappart,4-2-3-1,3-4-3,Montpellier HSC,Racing Club de Strasbourg Alsace,2:2,domestic_league,0
63402,4094793,2023,24. Matchday,2024-03-03,3911,738,1,0,2.0,15.0,Éric Roy,Luka Elsner,Stade Francis-Le Blé,14718.0,Pierre Gaillouste,4-2-3-1,3-4-3,Stade brestois 29,Le Havre Athletic Club,1:0,domestic_league,1
63403,4094794,2023,25. Matchday,2024-03-10,583,1421,2,2,1.0,9.0,Luis Enrique,Will Still,Parc des Princes,47917.0,Willy Delajod,4-3-3 Attacking,4-4-1-1,Paris Saint-Germain Football Club,Stade Reims,2:2,domestic_league,0
63404,4094795,2023,25. Matchday,2024-03-10,667,162,0,1,14.0,3.0,Patrick Vieira,Adi Hütter,Stade de la Meinau,25391.0,Clément Turpin,3-5-2,4-4-2 double 6,Racing Club de Strasbourg Alsace,Association sportive de Monaco Football Club,0:1,domestic_league,-1
63405,4094796,2023,25. Matchday,2024-03-10,244,995,2,0,7.0,16.0,Jean-Louis Gasset,Jocelyn Gourvennec,Orange Vélodrome,56958.0,François Letexier,4-3-3 Attacking,5-3-2,Olympique de Marseille,Football Club de Nantes,2:0,domestic_league,1
63406,4094797,2023,25. Matchday,2024-03-09,1158,1041,0,2,15.0,10.0,Régis Le Bris,Pierre Sage,Stade du Moustoir,16426.0,Mathieu Vernice,3-4-2-1,4-3-3 Attacking,Football Club Lorient-Bretagne Sud,Olympique Lyonnais,0:2,domestic_league,-1
63407,4094798,2023,25. Matchday,2024-03-10,1082,273,2,2,4.0,8.0,Paulo Fonseca,Julien Stéphan,Decathlon Arena-Stade Pierre-Mauroy,40383.0,Benoît Millot,4-3-3 Attacking,4-2-3-1,Lille Olympique Sporting Club,Stade Rennais Football Club,2:2,domestic_league,0
63408,4094799,2023,25. Matchday,2024-03-08,417,969,1,2,6.0,13.0,Francesco Farioli,Michel Der Zakarian,Allianz Riviera,21819.0,Ruddy Buquet,3-4-3,4-2-3-1,Olympique Gymnaste Club Nice Côte d'Azur,Montpellier HSC,1:2,domestic_league,-1
63409,4094800,2023,25. Matchday,2024-03-09,826,3911,1,0,5.0,2.0,Franck Haise,Éric Roy,Stade Bollaert-Delelis,38016.0,Stéphanie Frappart,3-4-1-2,4-2-3-1,Racing Club de Lens,Stade brestois 29,1:0,domestic_league,1
