game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4635048,2025-09-21,162,347,Adi Hütter,Stéphane Le Mignan,Stade Louis-II,6080.0,Stéphanie Frappart,Association sportive de Monaco Football Club,Football Club de Metz,domestic_league
4635049,2025-09-19,1041,1420,Paulo Fonseca,Alexandre Dujeux,Groupama Stadium,44437.0,Clément Turpin,Olympique Lyonnais,Angers Sporting Club de l'Ouest,domestic_league
4635050,2025-09-22,244,583,Roberto De Zerbi,Luis Enrique,Orange Vélodrome,66190.0,Jérôme Brisard,Olympique de Marseille,Paris Saint-Germain Football Club,domestic_league
4635051,2025-09-26,667,244,Liam Rosenior,Roberto De Zerbi,Stade de la Meinau,23262.0,Jérémie Pignard,Racing Club de Strasbourg Alsace,Olympique de Marseille,domestic_league
4635052,2025-09-28,1420,3911,Alexandre Dujeux,Éric Roy,Stade Raymond-Kopa,10210.0,Willy Delajod,Angers Sporting Club de l'Ouest,Stade brestois 29,domestic_league
4635053,2025-09-28,273,826,Habib Beye,Pierre Sage,Roazhon Park,26414.0,Bastien Dechepy,Stade Rennais Football Club,Racing Club de Lens,domestic_league
4635054,2025-09-27,415,995,Carles Martínez,Luís Castro,Stadium Municipal,22824.0,Benoît Millot,Toulouse Football Club,Football Club de Nantes,domestic_league
4635055,2025-09-28,347,738,Stéphane Le Mignan,Didier Digard,Stade Saint-Symphorien,19976.0,Guillaume Paradis,Football Club de Metz,Le Havre Athletic Club,domestic_league
4635056,2025-09-28,417,10004,Franck Haise,Stéphane Gilli,Allianz Riviera,20049.0,Abdelatif Kherradji,Olympique Gymnaste Club Nice Côte d'Azur,Paris Football Club,domestic_league
4635057,2025-09-27,1158,162,Olivier Pantaloni,Adi Hütter,Stade du Moustoir,15561.0,Ruddy Buquet,Football Club Lorient-Bretagne Sud,Association sportive de Monaco Football Club,domestic_league
4635058,2025-09-28,1082,1041,Bruno Génésio,Paulo Fonseca,Decathlon Arena-Stade Pierre-Mauroy,45287.0,Mathieu Vernice,Lille Olympique Sporting Club,Olympique Lyonnais,domestic_league
4635059,2025-09-27,583,290,Luis Enrique,Christophe Pélissier,Parc des Princes,47792.0,Thomas Léonard,Paris Saint-Germain Football Club,Association de la Jeunesse auxerroise,domestic_league
4635060,2025-10-05,162,417,Adi Hütter,Franck Haise,Stade Louis-II,8306.0,Willy Delajod,Association sportive de Monaco Football Club,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4635061,2025-10-04,347,244,Stéphane Le Mignan,Roberto De Zerbi,Stade Saint-Symphorien,28551.0,Clément Turpin,Football Club de Metz,Olympique de Marseille,domestic_league
4635062,2025-10-05,1041,415,Paulo Fonseca,Carles Martínez,Groupama Stadium,51414.0,Thomas Léonard,Olympique Lyonnais,Toulouse Football Club,domestic_league
4635063,2025-10-05,738,273,Didier Digard,Habib Beye,Stade Océane,17802.0,Jérémie Pignard,Le Havre Athletic Club,Stade Rennais Football Club,domestic_league
4635064,2025-10-03,10004,1158,Stéphane Gilli,Olivier Pantaloni,Stade Jean Bouin,18084.0,Benoît Millot,Paris Football Club,Football Club Lorient-Bretagne Sud,domestic_league
4635065,2025-10-05,667,1420,Liam Rosenior,Alexandre Dujeux,Stade de la Meinau,22171.0,Guillaume Paradis,Racing Club de Strasbourg Alsace,Angers Sporting Club de l'Ouest,domestic_league
4635066,2025-10-04,3911,995,Éric Roy,Luís Castro,Stade Francis-Le Blé,14941.0,Gaël Angoula,Stade brestois 29,Football Club de Nantes,domestic_league
4635067,2025-10-04,290,826,Christophe Pélissier,Pierre Sage,Stade de l'Abbé-Deschamps,17243.0,François Letexier,Association de la Jeunesse auxerroise,Racing Club de Lens,domestic_league
4635068,2025-10-05,1082,583,Bruno Génésio,Luis Enrique,Decathlon Arena-Stade Pierre-Mauroy,47355.0,Benoît Bastien,Lille Olympique Sporting Club,Paris Saint-Germain Football Club,domestic_league
4635069,2025-10-18,244,738,Roberto De Zerbi,Didier Digard,Orange Vélodrome,64869.0,Bastien Dechepy,Olympique de Marseille,Le Havre Athletic Club,domestic_league
4635070,2025-10-18,417,1041,Franck Haise,Paulo Fonseca,Allianz Riviera,24122.0,Jérôme Brisard,Olympique Gymnaste Club Nice Côte d'Azur,Olympique Lyonnais,domestic_league
4635071,2025-10-17,583,667,Luis Enrique,Liam Rosenior,Parc des Princes,47754.0,Clément Turpin,Paris Saint-Germain Football Club,Racing Club de Strasbourg Alsace,domestic_league
4635072,2025-10-19,415,347,Carles Martínez,Stéphane Le Mignan,Stadium Municipal,26078.0,François Letexier,Toulouse Football Club,Football Club de Metz,domestic_league
4635073,2025-10-19,826,10004,Pierre Sage,Stéphane Gilli,Stade Bollaert-Delelis,33773.0,Gaël Angoula,Racing Club de Lens,Paris Football Club,domestic_league
4635074,2025-10-19,1158,3911,Olivier Pantaloni,Éric Roy,Stade du Moustoir,16607.0,Marc Bollengier,Football Club Lorient-Bretagne Sud,Stade brestois 29,domestic_league
